"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 400
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 48000 to Transport in Ambikapur.
                    ","Paid INR 48,000
                        ","Transport","Duplicate Registration Certificate","45 views","Ambikapur
                      , Chhattisgarh","October 12, 2015"
"
                      I Paid Rs. 1200 to Passport in Hyderabad.
                    ","Paid INR 1,200
                        ","Passport","Passport Delivery","79 views","Hyderabad
                      , Telangana","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1230 to Municipal Services in Adari.
                    ","Paid INR 1,230
                        ","Municipal Services","Birth Certificate","81 views","Adari
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Paid INR 5,000
                        ","Stamps and Registration","Registration of Property","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 21000 to Police in Ameenapuram.
                    ","Paid INR 21,000
                        ","Police","Filing FIR","37 views","Ameenapuram
                      , Telangana","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","41 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Registration of Property","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 4200 to Stamps and Registration in Aurangabad.
                    ","Paid INR 4,200
                        ","Stamps and Registration","Registration of Flat or Apartment","81 views","Aurangabad
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Registration of Vehicle","0 views","Bangalore
                      , Karnataka","October 12, 2015"
